Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047
